Departures_from_Kaikaluru/KKLR Vijayawada__Airport/VGA:_46_km
Departures_from_Nigaura/NIQ Bilaspur__Airport/PAB:_117_km
Departures_from_Venkatnagar/VKR Bilaspur__Airport/PAB:_113_km
Departures_from_Harri/HRB Bilaspur__Airport/PAB:_101_km
Departures_from_Sarbahara/SBRA Bilaspur__Airport/PAB:_87_km
Departures_from_Khodri/KOI Bilaspur__Airport/PAB:_81_km
Departures_from_Bhanwar_Tonk/BHTK Bilaspur__Airport/PAB:_76_km
Departures_from_Khongsara/KGS Bilaspur__Airport/PAB:_68_km
Departures_from_Tenganmada/TGQ Bilaspur__Airport/PAB:_62_km
Departures_from_Salkaroad/SLKR Bilaspur__Airport/PAB:_45_km
Departures_from_Kalmitar/KLTR Bilaspur__Airport/PAB:_29_km
Departures_from_Ghutku/GTK Bilaspur__Airport/PAB:_21_km
Departures_from_Usalapur/USL Bilaspur__Airport/PAB:_13_km
Departures_from_Mauhari/MZH Bilaspur__Airport/PAB:_137_km
Departures_from_Dhurwasin/DRSN Bilaspur__Airport/PAB:_136_km
Departures_from_Harrad/HRV Bilaspur__Airport/PAB:_139_km
Departures_from_Kotma/KTMA Bilaspur__Airport/PAB:_142_km
Departures_from_Baihatola/BATL Bilaspur__Airport/PAB:_145_km
Departures_from_Bijuri/BJRI Bilaspur__Airport/PAB:_147_km
Departures_from_Boridand/BRND Bilaspur__Airport/PAB:_150_km
Departures_from_Manendragarh/MDGR Bilaspur__Airport/PAB:_144_km
Departures_from_Paradol/PRDL Bilaspur__Airport/PAB:_141_km
Departures_from_Chirmiri/CHRM Bilaspur__Airport/PAB:_143_km
Departures_from_Kulti/ULT Dhanbad__Airport/DBD:_46_km
Departures_from_Barakar/BRR Dhanbad__Airport/DBD:_42_km
Departures_from_Kumardubi/KMME Dhanbad__Airport/DBD:_40_km
Departures_from_Bhojo/BOJ Dibrugarh__Airport/DIB:_49_km
Departures_from_Bokajan/BXJ Dimapur__Airport/DMU:_16_km
Departures_from_Lanka/LKA Dimapur__Airport/DMU:_86_km
Departures_from_Jamunamukh/JMK Tezpur__Airport/TEZ:_71_km
Departures_from_Kampur/KWM Tezpur__Airport/TEZ:_66_km
Departures_from_Jagi_Road/JID Shillong_Barapani_Airport/SHL:_54_km
Departures_from_Digaru/DGU Guwahati_Borjhar_Airport/GAU:_40_km
Departures_from_Nalbari/NLV Guwahati_Borjhar_Airport/GAU:_43_km
Departures_from_Bongaigaon/BNGN Rupsi__Airport/RUP:_79_km
Departures_from_Kokrajhar/KOJ Rupsi__Airport/RUP:_49_km
Departures_from_Fakiragram_Junction/FKM Rupsi__Airport/RUP:_37_km
Departures_from_Gossaigaon_Hat/GOGH Rupsi__Airport/RUP:_34_km
Departures_from_Falakata/FLK Cooch_Behar__Airport/CDP:_37_km
Departures_from_Jalpaiguri_Road/JPE Bagdogra__Airport/IXB:_42_km
Departures_from_New_Farakka_Junction/NFK Dhanbad__Airport/DBD:_193_km
Departures_from_Barharwa_Junction/BHW Dhanbad__Airport/DBD:_186_km
Departures_from_Sahibganj_Junction/SBG Bagdogra__Airport/IXB:_183_km
Departures_from_Kahalgaon/CLG Dhanbad__Airport/DBD:_187_km
Departures_from_Rajgir/RGD Gaya__Airport/GAY:_60_km
Departures_from_Nalanda/NLD Patna__Airport/PAT:_68_km
Departures_from_Pawapuri_Road/PQE Patna__Airport/PAT:_67_km
Departures_from_Bihar_Sharif/BEHS Patna__Airport/PAT:_66_km
Departures_from_Gaya_Junction/GAYA Gaya__Airport/GAY:_9_km
Departures_from_Anugraha_Narayan_Road/AUBR Gaya__Airport/GAY:_67_km
Departures_from_Dehri_On_Sone/DOS Gaya__Airport/GAY:_83_km
Departures_from_Sasaram_Junction/SSM Gaya__Airport/GAY:_102_km
Departures_from_Bhabua_Road/BBU Varanasi_Babatpur_Airport/VNS:_87_km
Departures_from_Sarnath/SRNT Varanasi_Babatpur_Airport/VNS:_20_km
Departures_from_Barwa_Sagar/BWR Gwalior__Airport/GWL:_122_km
Departures_from_Nivari/NEW Gwalior__Airport/GWL:_129_km
Departures_from_Bela_Tal/BTX Khajuraho__Airport/HJR:_75_km
Departures_from_Kulpahar/KLAR Khajuraho__Airport/HJR:_63_km
Departures_from_Khurhand/KHU Khajuraho__Airport/HJR:_87_km
Departures_from_Bharat_Kup/BTKP Khajuraho__Airport/HJR:_102_km
Departures_from_Dabhaura/DBR Allahabad_Bamrauli_Airport/IXD:_59_km
