Departures_from_Kulitalai/KLT Tiruchirapalli__Airport/TRZ:_39_km
Departures_from_Chata/CHJ Agra_Kheria_Airport/AGR:_81_km
Departures_from_Muradnagar/MUD New_Delhi_Indira_Gandhi_International_Airport/DEL:_50_km
Departures_from_Modinagar/MDNR New_Delhi_Indira_Gandhi_International_Airport/DEL:_58_km
Departures_from_Meerut_Cantt./MUT New_Delhi_Indira_Gandhi_International_Airport/DEL:_81_km
Departures_from_Khatauli/KAT New_Delhi_Indira_Gandhi_International_Airport/DEL:_107_km
Departures_from_Deoband/DBD Dehradun_Grant_Airport/DED:_78_km
Departures_from_Barara/RAA Chandigarh__Airport/IXC:_59_km
Departures_from_Govindpuri/GOY Kanpur__Airport/KNU:_6_km
Departures_from_Bhimsen/BZM Kanpur__Airport/KNU:_15_km
Departures_from_Kathara_Road/KTRR Kanpur__Airport/KNU:_21_km
Departures_from_Patara/PTRE Kanpur__Airport/KNU:_28_km
Departures_from_Ghatampur/GTM Kanpur__Airport/KNU:_39_km
Departures_from_Hamirpur_Road/HAR Kanpur__Airport/KNU:_53_km
Departures_from_Bharwa_Sumerpur/BSZ Kanpur__Airport/KNU:_75_km
Departures_from_Ichauli/ICL Kanpur__Airport/KNU:_92_km
Departures_from_Shivrampur/SWC Allahabad_Bamrauli_Airport/IXD:_98_km
Departures_from_Majhagawan/MJG Khajuraho__Airport/HJR:_95_km
Departures_from_Jaitwar/JTW Khajuraho__Airport/HJR:_95_km
Departures_from_Unchhera/UHR Khajuraho__Airport/HJR:_104_km
Departures_from_Jukehi/JKE Jabalpur__Airport/JLR:_101_km
Departures_from_Nizampur/NIP New_Delhi_Indira_Gandhi_International_Airport/DEL:_131_km
Departures_from_Kanwat/KAWT Jaipur_Sanganer_Airport/JAI:_92_km
Departures_from_Shri_Madhopur/SMPR Jaipur_Sanganer_Airport/JAI:_77_km
Departures_from_Badhal/BDHL Jaipur_Sanganer_Airport/JAI:_61_km
Departures_from_Renwal/RNW Jaipur_Sanganer_Airport/JAI:_63_km
Departures_from_Gummidipundi/GPD Chennai_Meenambakkam_Airport/MAA:_49_km
Departures_from_Kakinada_Port/COA Rajahmundry__Airport/RJA:_51_km
Departures_from_Rajkot_Junction/RJT Rajkot__Airport/RAJ:_2_km
Departures_from_Surendranagar/SUNR Rajkot__Airport/RAJ:_105_km
Departures_from_Bangarapet/BWY Osmanabad__Airport/OMN:_74_km
Departures_from_Kurduvadi_Junction/KWV Sholapur__Airport/SSE:_81_km
Departures_from_Ganagapur_Road/GUR Bellary__Airport/BEP:_154_km
Departures_from_Krishna/KSN Bellary__Airport/BEP:_84_km
Departures_from_Kalluru_Junction/KLU Bengaluru__Airport/BLR:_112_km
Departures_from_Sri_Sathya_Sai_Prashanthi_Nilayam/SSPN Bengaluru__Airport/BLR:_58_km
Departures_from_Hosur/HSRA Salem__Airport/SXV:_42_km
Departures_from_Dharmapuri/DPJ New_Delhi_Indira_Gandhi_International_Airport/DEL:_40_km
Departures_from_Rathdhana/RDDE New_Delhi_Indira_Gandhi_International_Airport/DEL:_20_km
Departures_from_Adarsh_Nagar/ANDI Guna__Airport/GUX:_105_km
Departures_from_Karonda/KOA Indore__Airport/IDR:_125_km
Departures_from_Harsud/HRD Indore__Airport/IDR:_111_km
Departures_from_Bir/BIR Nagpur_Sonegaon_Airport/NAG:_115_km
Departures_from_Bhandak/BUX Nagpur_Sonegaon_Airport/NAG:_37_km
Departures_from_Sindi/SNI Gwalior__Airport/GWL:_24_km
Departures_from_Sank/SANK Jamshedpur_Sonari_Airport/IXW:_8_km
Departures_from_Gamharia/GMH Patna__Airport/PAT:_56_km
Departures_from_Wena/WENA Patna__Airport/PAT:_54_km
Departures_from_Harnaut/HRT Patna__Airport/PAT:_43_km
Departures_from_Karauta/KWO Patna__Airport/PAT:_12_km
Departures_from_Gulzarbagh/GZH Patna__Airport/PAT:_122_km
Departures_from_Bansipur/BSQP Varanasi_Babatpur_Airport/VNS:_96_km
Departures_from_Yusufpur/YFP Patna__Airport/PAT:_105_km
Departures_from_Laheria_Sarai/LSI Bagdogra__Airport/IXB:_20_km
Departures_from_Ambari_Falakata/ABFC Bagdogra__Airport/IXB:_29_km
Departures_from_Belakoba/BLK Bagdogra__Airport/IXB:_37_km
Departures_from_Raninagar_Jalpaiguri/RQJ Bagdogra__Airport/IXB:_40_km
Departures_from_Mohitnagar/MOP Bagdogra__Airport/IXB:_45_km
