Departures_from_Nyoli_Kalan/NKN Bhatinda__Airport/BUP:_154_km
Departures_from_Jajan_Patti/JJA Agra_Kheria_Airport/AGR:_46_km
Departures_from_Nursratabad_Kharkhar/NTG New_Delhi_Indira_Gandhi_International_Airport/DEL:_33_km
Departures_from_Alawalpur_I_Pur/AIH Pantnagar__Airport/PGH:_85_km
Departures_from_Lodipur_Bishanpur/LPB Pantnagar__Airport/PGH:_90_km
Departures_from_Hakimpur/HKP Pantnagar__Airport/PGH:_93_km
Departures_from_Chak_Kali_Lait/CKLT Pantnagar__Airport/PGH:_115_km
Departures_from_Kafurpur/KFPR Pantnagar__Airport/PGH:_119_km
Departures_from_Mahesra/MHHR New_Delhi_Indira_Gandhi_International_Airport/DEL:_115_km
Departures_from_Kankather/KHE New_Delhi_Indira_Gandhi_International_Airport/DEL:_110_km
Departures_from_Garhmuktesar_Bridge/GGB New_Delhi_Indira_Gandhi_International_Airport/DEL:_80_km
Departures_from_Babugarh/BBO New_Delhi_Indira_Gandhi_International_Airport/DEL:_43_km
Departures_from_Mahrauli/MFH New_Delhi_Indira_Gandhi_International_Airport/DEL:_42_km
Departures_from_Maripat/MIU New_Delhi_Indira_Gandhi_International_Airport/DEL:_49_km
Departures_from_Boraki/BRKY New_Delhi_Indira_Gandhi_International_Airport/DEL:_51_km
Departures_from_Ajaibpur/AJR New_Delhi_Indira_Gandhi_International_Airport/DEL:_59_km
Departures_from_Dankaur/DKDE New_Delhi_Indira_Gandhi_International_Airport/DEL:_67_km
Departures_from_Wair/WIR New_Delhi_Indira_Gandhi_International_Airport/DEL:_77_km
Departures_from_Gangraul/GNRL New_Delhi_Indira_Gandhi_International_Airport/DEL:_80_km
Departures_from_Sikandarpur/SKQ New_Delhi_Indira_Gandhi_International_Airport/DEL:_46_km
Departures_from_/ Patna__Airport/PAT:_93_km
Departures_from_Adhyatmik_Nagar/AKNR New_Delhi_Indira_Gandhi_International_Airport/DEL:_88_km
Departures_from_Kastla_Kasmabad/KSMB New_Delhi_Indira_Gandhi_International_Airport/DEL:_95_km
Departures_from_Kamalpur/KAMP Agra_Kheria_Airport/AGR:_104_km
Departures_from_Danwar/DAR Agra_Kheria_Airport/AGR:_96_km
Departures_from_Somna/SOM Agra_Kheria_Airport/AGR:_91_km
Departures_from_Kulwa/KLA New_Delhi_Indira_Gandhi_International_Airport/DEL:_44_km
Departures_from_Mahrawal/MWUE New_Delhi_Indira_Gandhi_International_Airport/DEL:_67_km
Departures_from_Duhai/DXH New_Delhi_Indira_Gandhi_International_Airport/DEL:_71_km
Departures_from_Mohiuddinpur/MUZ Agra_Kheria_Airport/AGR:_52_km
Departures_from_Partapur/PRTP New_Delhi_Indira_Gandhi_International_Airport/DEL:_85_km
Departures_from_Hathras_Killah/HRF Dehradun_Grant_Airport/DED:_108_km
Departures_from_Pabli_Khas/PQY Dehradun_Grant_Airport/DED:_101_km
Departures_from_Mansurpur/MSP Dehradun_Grant_Airport/DED:_70_km
Departures_from_Jarauda_Nara/JDW Dehradun_Grant_Airport/DED:_73_km
Departures_from_Nangal/NGL Dehradun_Grant_Airport/DED:_88_km
Departures_from_Talheri_Buzurg/THJ Dehradun_Grant_Airport/DED:_92_km
Departures_from_Rohana_Kalan/RNA Pathankot__Airport/IXP:_5_km
Departures_from_Bamanheri/BMHR Pathankot__Airport/IXP:_6_km
Departures_from_Mahmudpur_Sryn/MZN Pathankot__Airport/IXP:_9_km
Departures_from_Bharoli_Junction/BHRL Pathankot__Airport/IXP:_15_km
Departures_from_Sarna/SRM Pathankot__Airport/IXP:_37_km
Departures_from_Jakolari/JK Pathankot__Airport/IXP:_41_km
Departures_from_Parna_Nand/PMQ Amritsar_Raja_Sansi_Airport/ATQ:_71_km
