Departures_from_Angalakuduru/AKU Vijayawada__Airport/VGA:_39_km
Departures_from_Pata/PATA Kanpur__Airport/KNU:_57_km
Departures_from_Kanchausi/KNS Kanpur__Airport/KNU:_40_km
Departures_from_Para_Jani_Halt/PJY Kanpur__Airport/KNU:_25_km
Departures_from_Ambiapur/AAP Lucknow_Amausi_Airport/LKO:_96_km
Departures_from_Roshan_Mau/RMW Kanpur__Airport/KNU:_30_km
Departures_from_Bhaupur/BPU Kanpur__Airport/KNU:_27_km
Departures_from_Sitapur_Kutchery_Halt/STRK Agra_Kheria_Airport/AGR:_39_km
Departures_from_Baradev/BRDV Agra_Kheria_Airport/AGR:_54_km
Departures_from_Makhi/MKHI Agra_Kheria_Airport/AGR:_93_km
Departures_from_Hirangaon/HNG Gwalior__Airport/GWL:_98_km
Departures_from_Makkhanpur/MNR Kanpur__Airport/KNU:_119_km
Departures_from_Balrai/BBL Kanpur__Airport/KNU:_67_km
Departures_from_Sarai_Bhopat/SB Kanpur__Airport/KNU:_13_km
Departures_from_Khudaganj/KDJ Kanpur__Airport/KNU:_82_km
Departures_from_Aroul/ARL Allahabad_Bamrauli_Airport/IXD:_62_km
Departures_from_Rooma/RXM Gwalior__Airport/GWL:_104_km
Departures_from_Ramva/RAMA Gwalior__Airport/GWL:_105_km
Departures_from_Kanwar/KUW Gwalior__Airport/GWL:_100_km
Departures_from_Garhmau/GRM Gwalior__Airport/GWL:_101_km
Departures_from_Paricha/PIC Gwalior__Airport/GWL:_107_km
Departures_from_Parichaa_Thermal/PTSC Kanpur__Airport/KNU:_121_km
Departures_from_Nankhas/NDK Kanpur__Airport/KNU:_93_km
Departures_from_Erich_Road/ERC Kanpur__Airport/KNU:_51_km
Departures_from_Parauna/PRN Kanpur__Airport/KNU:_37_km
Departures_from_Bhua/BHUA Kanpur__Airport/KNU:_25_km
Departures_from_Ata/ATA Allahabad_Bamrauli_Airport/IXD:_35_km
Departures_from_Malasa/MLS Khajuraho__Airport/HJR:_62_km
Departures_from_Tilaunchi/TLNH Khajuraho__Airport/HJR:_68_km
Departures_from_Rasulpurgogamau/RPGU Khajuraho__Airport/HJR:_74_km
Departures_from_Bidanpur/BDNP Khajuraho__Airport/HJR:_92_km
Departures_from_Baripura/BPRA Kanpur__Airport/KNU:_84_km
Departures_from_Kabrai/KBR Kanpur__Airport/KNU:_64_km
Departures_from_Mataundh/MTH Kanpur__Airport/KNU:_59_km
Departures_from_Akora/AKW Kanpur__Airport/KNU:_18_km
